episode,score,epsilon,loss,q_value_mean,steps,reward_total
0,1,0,nan,-0.02905275672674179,12,5.297142517520749
0,0,0,nan,-0.008181200362741947,10,-5.660218280689649
0,1,0,nan,-0.029276149347424507,9,3.3741896144975154
0,1,0,nan,-0.03738165274262428,12,5.3937005515948115
0,0,0,nan,-0.03266740217804909,4,-8.03407812524998
0,1,0,nan,-0.015504084527492523,11,4.546661613909848
0,0,0,3.160013198852539,0.01455047819763422,9,-6.210673350871533
0,0,0,2.5953757762908936,0.00828186608850956,6,-7.263987191357662
